folder,freesound_id,name,duration_s,author,license,filename
serpent,737414,Knipex cobra XS - Opening ratchet mechanism 3,0.53,Sadiquecat,http://creativecommons.org/publicdomain/zero/1.0/,fs_737414_knipex_cobra_xs_opening_ratchet_mechanis.mp3
serpent,737413,Knipex cobra XS - Opening ratchet mechanism 2,0.33,Sadiquecat,http://creativecommons.org/publicdomain/zero/1.0/,fs_737413_knipex_cobra_xs_opening_ratchet_mechanis.mp3
serpent,737412,Knipex cobra XS -  jaws clamping,11.72,Sadiquecat,http://creativecommons.org/publicdomain/zero/1.0/,fs_737412_knipex_cobra_xs_jaws_clamping.mp3
serpent,737418,Knipex cobra XS opening and closing 2 (Closure is louder),5.29,Sadiquecat,http://creativecommons.org/publicdomain/zero/1.0/,fs_737418_knipex_cobra_xs_opening_and_closing_2_cl.mp3
serpent,737416,Knipex cobra XS - Opening ratchet mechanism,0.57,Sadiquecat,http://creativecommons.org/publicdomain/zero/1.0/,fs_737416_knipex_cobra_xs_opening_ratchet_mechanis.mp3
serpent,423454,snarling Snake,21.12,florianreichelt,http://creativecommons.org/publicdomain/zero/1.0/,fs_423454_snarling_snake.mp3
serpent,448035,CASCAVEL.wav,3.16,ReisGroup,http://creativecommons.org/publicdomain/zero/1.0/,fs_448035_cascavel_wav.mp3
serpent,516697,"Beast, Basilisk, Zombie Horde.wav",4.19,LilMati,http://creativecommons.org/publicdomain/zero/1.0/,fs_516697_beast_basilisk_zombie_horde_wav.mp3
swarm,595476,Insects buzzing.wav,17.0,SavReese,http://creativecommons.org/publicdomain/zero/1.0/,fs_595476_insects_buzzing_wav.mp3
swarm,564499,Buzzing Insect.wav,21.87,Deboche,http://creativecommons.org/publicdomain/zero/1.0/,fs_564499_buzzing_insect_wav.mp3
swarm,856765,Wasp Buzzing 01,7.4,loganzsound,http://creativecommons.org/publicdomain/zero/1.0/,fs_856765_wasp_buzzing_01.mp3
swarm,582683,Bee Buzz,16.9,AKkingStudio,http://creativecommons.org/publicdomain/zero/1.0/,fs_582683_bee_buzz.mp3
swarm,582684,Bee Buzz 2,12.47,AKkingStudio,http://creativecommons.org/publicdomain/zero/1.0/,fs_582684_bee_buzz_2.mp3
swarm,856766,Wasp Buzzing 02,3.61,loganzsound,http://creativecommons.org/publicdomain/zero/1.0/,fs_856766_wasp_buzzing_02.mp3
undead,204962,CreepyMoan.wav,6.6,titsher,http://creativecommons.org/publicdomain/zero/1.0/,fs_204962_creepymoan_wav.mp3
undead,377737,Female groaning creepy,9.23,BlueSiren,http://creativecommons.org/publicdomain/zero/1.0/,fs_377737_female_groaning_creepy.mp3
undead,473525,groan.mp3,4.72,Kneeling,http://creativecommons.org/publicdomain/zero/1.0/,fs_473525_groan_mp3.mp3
undead,495687,Moaning Ghost,10.61,poodaddy69,http://creativecommons.org/publicdomain/zero/1.0/,fs_495687_moaning_ghost.mp3
undead,733926,ghost sex moaning 1,7.54,Marcelievsky,http://creativecommons.org/publicdomain/zero/1.0/,fs_733926_ghost_sex_moaning_1.mp3
undead,473526,bones.mp3,4.68,Kneeling,http://creativecommons.org/publicdomain/zero/1.0/,fs_473526_bones_mp3.mp3
undead,202102,Rattling Bones.wav,5.46,spookymodem,http://creativecommons.org/publicdomain/zero/1.0/,fs_202102_rattling_bones_wav.mp3
undead,555416,Zombie Growl 1.wav,2.74,tonsil5,http://creativecommons.org/publicdomain/zero/1.0/,fs_555416_zombie_growl_1_wav.mp3
undead,555415,Zombie Growl 2.wav,3.73,tonsil5,http://creativecommons.org/publicdomain/zero/1.0/,fs_555415_zombie_growl_2_wav.mp3
undead,555417,Zombie Growl 5.wav,2.64,tonsil5,http://creativecommons.org/publicdomain/zero/1.0/,fs_555417_zombie_growl_5_wav.mp3
undead,204820,Zombie Growl 02,3.52,Ezcah,http://creativecommons.org/publicdomain/zero/1.0/,fs_204820_zombie_growl_02.mp3
undead,804461,zombie growl 2,5.35,OozerName,http://creativecommons.org/publicdomain/zero/1.0/,fs_804461_zombie_growl_2.mp3
undead,204821,Zombie Growl 01,2.72,Ezcah,http://creativecommons.org/publicdomain/zero/1.0/,fs_204821_zombie_growl_01.mp3
undead,555413,Zombie Growl 4.wav,2.45,tonsil5,http://creativecommons.org/publicdomain/zero/1.0/,fs_555413_zombie_growl_4_wav.mp3
undead,555414,Zombie Growl 3.wav,3.76,tonsil5,http://creativecommons.org/publicdomain/zero/1.0/,fs_555414_zombie_growl_3_wav.mp3
